🎨 Інтерфейс та навігація,,
⏱️ Тайм-трекінг,,
Зміни,Worksection 1.0,Worksection 2.0
Запис часу,Автоматичне та ручне внесення часу,Автоматичне та ручне внесення + старт/стоп таймера
Вікно часу,"Окреме, без інтеграції",Вікно «затрати за сьогодні» поєднане з таймером
Витрати часу,Базові звіти по витратах часу,Деталізовані звіти по витратах часу
Погодинка (Billing),"Ставки billable / non-billable, білінг годин","Розширені погодинкові ставки, гнучкий білінг годин"
,,
📅 Планування,,
Зміни,Worksection 1.0,Worksection 2.0
Календар задач,"Базове планування у календарі, перетягування задач",Повноцінний календар із Drag&Drop та синхронізацією подій
План дня (для задач),Відсутній,"Персональний планувальник “План дня” з Drag&Drop задачами, календарною візуалізацією та збереженням обраного вигляду"
Збережені вигляди,Списки задач із ручними фільтрами,"Збережені режими відображення (фільтри, сортування, групування) для швидкого доступу"
,,
👥 Персоналізація та доступи,,
Зміни,Worksection 1.0,Worksection 2.0
Структура команди,Користувачі та відділи,"Розширена структура: користувачі, відділи, команди, належність до відділу/команди"
Ролі та права доступу,"Базові ролі: адмін акаунта, користувач, гість","Гнучкі ролі: адмін акаунта, адмін команди, користувач, гість, підписник, кастомні права"
Активність користувачів,Обмежене відображення,Аналітика активності користувачів у реальному часі
Онлайн/офлайн статус,Відсутній,Статуси активності користувача + режим «Не турбувати»
Сповіщення,"Push, email, внутрішні нотифікації","Push, email, внутрішні нотифікації + режим «Не турбувати»"
Нотатки,Відсутні,Персональний нотатник для користувача
Персональний простір,Відсутній,План дня як особистий робочий інструмент користувача
